Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
57,Shane Drohan*,24,WOR,AAA,BOS,5,7,0.417,6.47,6.88,21,19,0,0,0,0,89,103,68,64,19,63,0,93,5,0,6,424,1.865,10.4,1.9,6.4,9.4,1.48
58,Nate Fisher*,27,CHR,AAA,CHW,5,10,0.333,6.51,7.47,26,20,4,0,0,0,103.2,125,86,75,23,49,0,85,10,0,7,483,1.678,10.9,2,4.3,7.4,1.73
59,Paul Fry*,30,BFL,AAA,TOR,5,3,0.625,4.28,5.43,47,0,11,0,0,4,54.2,49,33,26,6,33,1,65,3,0,2,249,1.5,8.1,1,5.4,10.7,1.97
60,Reed Garrett,30,"NFK,SYR",AAA,BAL-NYM,5,1,0.833,3.06,4.08,31,0,11,0,0,3,35.1,34,16,12,4,19,1,39,0,1,2,157,1.5,8.7,1,4.8,9.9,2.05
61,Ben Heller,31,"DHM,GWI",AAA,TBR-ATL,5,2,0.714,3.27,4.91,32,0,5,0,0,1,44,39,24,16,2,15,1,57,11,1,4,197,1.227,8,0.4,3.1,11.7,3.8
62,Ronny Henriquez,23,STP,AAA,MIN,5,3,0.625,5.68,6,37,0,11,0,0,1,57,54,38,36,6,36,0,49,3,1,1,262,1.579,8.5,0.9,5.7,7.7,1.36
63,Dakota Hudson,28,MEM,AAA,STL,5,4,0.556,6,7.31,11,11,0,0,0,0,48,72,39,32,5,17,0,39,3,1,1,225,1.854,13.5,0.9,3.2,7.3,2.29
64,Hayden Juenger,22,BFL,AAA,TOR,5,2,0.714,6.33,6.45,54,5,9,0,0,2,75.1,86,54,53,11,39,0,92,6,0,2,348,1.659,10.3,1.3,4.7,11,2.36
65,Anthony Kay*,28,"IWA,SYR",AAA,CHC-NYM,5,1,0.833,3.76,4.87,32,1,5,0,0,0,40.2,29,22,17,2,23,1,58,2,2,2,173,1.279,6.4,0.4,5.1,12.8,2.52
66,Kyle Leahy,26,MEM,AAA,STL,5,4,0.556,6.26,7.13,46,4,9,0,0,0,83.1,104,66,58,15,39,0,92,2,1,6,386,1.716,11.2,1.6,4.2,9.9,2.36
67,Taylor Lehman*,27,LHV,AAA,PHI,5,0,1,4.19,4.72,37,0,3,0,0,0,34.1,25,18,16,3,25,1,32,0,0,7,146,1.456,6.6,0.8,6.6,8.4,1.28
68,Michael Mariot,34,LOU,AAA,CIN,5,4,0.556,6.49,6.49,12,11,0,0,0,0,51.1,59,37,37,13,22,0,40,2,0,0,229,1.578,10.3,2.3,3.9,7,1.82
69,T.J. McFarland*,34,"SYR,NFK",AAA,NYM-BAL,5,2,0.714,2.3,2.59,44,0,13,0,0,1,62.2,52,18,16,2,28,2,67,4,1,3,266,1.277,7.5,0.3,4,9.6,2.39
70,Keider Montero,22,TOL,AAA,DET,5,2,0.714,4.93,5.14,8,7,0,0,0,0,42,42,24,23,8,14,0,47,4,0,1,182,1.333,9,1.7,3,10.1,3.36
71,James Naile,30,MEM,AAA,STL,5,3,0.625,3.66,3.97,31,3,11,0,0,3,59,60,26,24,6,21,0,66,4,0,1,250,1.373,9.2,0.9,3.2,10.1,3.14
72,Nick Neidert,26,IWA,AAA,CHC,5,7,0.417,5.64,6.39,27,24,0,0,0,0,107,127,76,67,18,40,0,86,5,1,3,486,1.561,10.7,1.5,3.4,7.2,2.15
73,Drew Parrish*,25,OMA,AAA,KCR,5,6,0.455,7.18,7.5,21,18,0,0,0,0,84,97,70,67,24,58,0,64,0,0,1,395,1.845,10.4,2.6,6.2,6.9,1.1
74,Sammy Peralta*,25,CHR,AAA,CHW,5,6,0.455,5.09,5.87,29,6,1,0,0,0,69,71,45,39,9,19,0,68,2,1,1,295,1.304,9.3,1.2,2.5,8.9,3.58
75,Zach Plesac,28,CLB,AAA,CLE,5,6,0.455,6.08,6.08,19,18,0,1,0,0,94.2,98,64,64,30,42,0,71,1,2,2,409,1.479,9.3,2.9,4,6.8,1.69
